Controls,Pair,Task,Deception,Conflict,Gender,Age,Topic,FeltClose,FeltUnderstood,Understood,DiffFeltClose,DiffFeltUnderstood,DiffUnderstood,SpeechbeatRR,SpeechbeatDET,SpeechbeatL,SpeechbeatLMAX,SpeechbeatENTR,SpeechbeatT2
1,7,2,0,0,1,18,1,4.5,5,5.5,1,0,1,0.0142612,0.479027,2.56112,14,1.01546,77.1522
1,8,2,0,0,3,19,2,4.5,5,5.5,1,2,1,0.0444821,0.59763,2.76878,9,1.19349,39.7197
1,9,2,1,0,3,19,2,4,3,3,0,4,4,0.0221679,0.608714,3.13022,13,1.43674,59.0645
1,11,2,0,0,1,22,4,4,5,5.5,0,2,1,0.0710718,0.795714,4.55525,16,1.83723,30.8652
1,12,2,0,0,3,19,2,4,4.5,4.5,0,1,1,0.043048,0.757103,3.47848,14,1.55127,77.288
1,13,2,0,0,1,18,1,4.5,5.5,5,1,1,2,0.000322487,NaN,NaN,1,NaN,181.111
1,15,2,0,0,3,19,1,3.5,4.5,4.5,1,1,1,0.0061322,0.21143,2.26427,6,0.636422,107.399
1,18,2,1,0,1,19.5,7,4,5,5,0,0,0,0.0276208,0.687762,4.13098,28,1.84934,59.7244
1,19,2,0,0,3,20,8,4,5,5,0,2,0,0.00780971,0.295322,2.26263,5,0.643535,112.909
1,21,2,1,0,3,21,7,4.5,4.5,5,1,1,2,0.106107,0.940605,9.31397,105,2.20564,49.4995
1,24,2,0,0,3,21,4,2.5,4,5,3,0,0,0.113684,0.802162,4.64359,81,1.70431,43.528
1,25,2,1,0,3,19.5,1,3.5,5,5,3,0,0,0.00506119,0.241518,2.1762,6,0.495037,136.437
1,26,2,1,0,1,21,4,3.5,5.5,5.5,1,1,1,0.0224078,0.579589,2.80546,12,1.21892,50.4484
1,27,2,1,0,3,21,5,2.5,4,5,1,4,2,0.0444103,0.622556,3.86963,14,1.72679,62.8751
1,30,2,0,0,1,20,2,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1,31,2,0,0,1,22,6,4.5,4,4.5,1,2,1,0.0373938,0.776348,4.19822,13,1.90041,51.3516
1,33,2,1,0,3,18.5,6,3.5,4.5,4.5,1,1,1,0.11272,0.836427,4.61881,40,2.0189,31.8779
1,34,2,1,0,1,20.5,5,4,5,4,NaN,NaN,NaN,0.00601271,0.358131,2,2,NaN,51.102
1,35,2,0,0,1,20,6,3.5,2.5,4.5,1,3,1,0.021438,0.599326,3.11152,9,1.25518,74.9604
1,36,2,1,0,3,20.5,2,4,5.5,6,0,1,0,0.0543179,0.849353,5.06374,23,2.09417,64.7986
1,37,2,1,0,1,19.5,1,3.5,4.5,4.5,1,1,1,0.0827099,0.890843,6.53316,69,2.34403,39.3665
1,38,2,0,0,3,18,7,3,4,4,2,2,0,0.00551972,NaN,NaN,1,NaN,181.625
1,39,2,0,0,1,20.5,6,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,40,2,1,0,0,20,7,4.5,5,5,1,0,0,NaN,1.40E-45,NaN,NaN,NaN,NaN
1,41,2,0,0,3,19.5,2,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,7,3,1,0,1,18,2,4,4,5,2,0,0,0.0414824,0.671698,3.17668,19,1.46082,46.6823
1,8,3,1,0,3,19,3,4,5,5.5,0,0,1,0.0309679,0.416913,2.48287,6,0.867006,52.9514
1,9,3,0,0,3,19,3,4.5,3,3,1,4,4,0.0145295,0.198469,2.10987,3,0.346239,64.3318
1,11,3,1,0,1,22,2,2.5,4.5,5,3,3,2,0.018264,0.5982,4.08091,36,1.60587,71.7573
1,12,3,1,0,3,19,9,2.5,2.5,4.5,1,1,1,0.00086706,0.0135135,2,2,NaN,123.332
1,13,3,1,0,1,18,6,4.5,5,4.5,1,0,3,0.032314,0.72068,2.93912,11,1.30922,62.8371
1,15,3,1,0,3,19,5,3.5,5,5,1,2,2,0.0157859,0.395633,2.68786,7,1.05834,64.1493
1,18,3,0,0,1,19.5,2,4,4.5,5.5,2,1,1,0.0452787,0.772911,4.34397,29,1.98347,55.0731
1,19,3,1,0,3,20,2,4.5,4.5,4.5,1,1,1,0.0108942,0.223234,2.08047,5,0.282105,71.2026
1,21,3,0,0,3,21,1,4,4,5.5,0,0,1,0.0322356,0.800346,4.80689,46,1.79511,76.2241
1,24,3,1,0,3,21,1,4.5,6,6,3,0,0,0.065462,0.781135,3.9681,71,1.67033,52.8094
1,25,3,0,0,3,19.5,5,4,3.5,5.5,2,3,1,0.00144882,0.0223108,2,2,NaN,272.939
1,26,3,0,0,1,21,5,4.5,5.5,5.5,1,1,1,0.0644118,0.731206,3.5337,52,1.62977,30.8672
1,27,3,0,0,3,21,6,2.5,3.5,4,1,5,0,0.0172656,0.296346,2.16464,5,0.46202,93.2059
1,30,3,1,0,1,20,3,3.5,4,4.5,1,2,1,0.00380309,0.102226,2.07821,5,0.243393,167.16
1,31,3,1,0,1,22,2,5,4,5,0,2,0,0.0723263,0.838506,4.33742,50,1.87277,33.3562
1,33,3,0,0,3,18.5,1,3,3.5,4,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1,34,3,0,0,1,20.5,7,3,2,3,NaN,NaN,NaN,0.0325076,0.198992,2.00044,3,0.00387412,86.1749
1,35,3,1,0,1,20,10,3.5,4,4,1,0,0,0.0307712,0.715149,7.2876,101,1.56095,47.7189
1,36,3,0,0,3,20.5,6,3.5,3.5,5.5,3,3,1,0.0343976,0.770468,3.8183,15,1.81388,43.7639
1,37,3,0,0,1,19.5,7,4.5,4.5,5.5,3,1,1,0.0799503,0.874201,5.15307,36,1.99334,37.1691
1,38,3,1,0,3,18,10,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
1,39,3,1,0,1,20.5,10,3.5,5,5,1,0,0,0.00716578,0.00897155,2,2,NaN,NaN
1,40,3,0,0,0,20,1,4.5,5,5,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,41,3,1,0,3,19.5,1,3.5,5,5,1,0,0,0.00878263,NaN,NaN,1,NaN,48.8621
1,48,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,49,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,50,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,52,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,53,2,1,1,1,18,1,4.5,5.5,5.5,1,1,1,0.13113,0.849416,7.52535,105,2.02469,29.762
1,54,2,0,1,3,18.5,1,4.5,5.5,6,1,1,0,0.0991077,0.851255,4.53381,64,1.97543,41.1434
1,56,2,0,1,1,19.5,5,5,5,4.5,0,0,1,0.0176779,0.177613,2.22609,4,0.577845,72.8755
1,59,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,60,2,1,1,3,19.5,1,4.5,5.5,5.5,1,1,1,0.042659,0.752415,5.96407,58,2.15836,54.8114
1,62,2,1,1,3,18.5,2,5,5.5,5,2,1,2,0.103391,0.70781,3.10455,29,1.4173,20.8219
1,65,2,0,1,1,21,7,3.5,4.5,5.5,1,1,1,0.0682003,0.713739,3.13635,21,1.43849,37.3822
1,66,2,0,1,1,19.5,4,4.5,5,5,1,0,0,0.137101,0.82329,3.95737,83,1.72507,28.7727
1,67,2,1,1,3,18.5,1,3.5,4.5,5.5,1,1,1,0.138859,0.79575,3.28337,99,1.30816,17.9896
1,68,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,71,2,0,1,3,18.5,7,6,5.5,6,0,1,0,0.0248239,0.400453,2.43429,5,0.826956,43.3534
1,72,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,74,2,1,1,0,18.5,10,4,5,5,0,0,0,0.0228303,0.449237,2.59976,10,0.991714,77.2455
1,75,2,0,1,0,20,2,4.5,5,5.5,1,2,1,0.0704086,0.712887,3.05018,14,1.38893,24.5412
1,48,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,49,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,50,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,52,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,53,3,0,1,1,18,7,6,6,6,0,0,0,0.116031,0.856465,6.01918,92,1.92262,37.791
1,54,3,1,1,3,18.5,6,4,5.5,5.5,2,1,1,0.038597,0.60537,5.59206,89,1.47262,64.0503
1,56,3,1,1,1,19.5,7,4.5,4.5,5,1,1,0,0.0164456,0.613732,2.77719,8,1.0708,65.5201
1,59,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,60,3,0,1,3,19.5,5,5,5.5,5.5,2,1,1,0.0275928,0.577799,2.72976,14,1.16448,53.6191
1,62,3,0,1,3,18.5,7,5,5,5.5,0,0,1,0.0644914,0.689228,3.41744,31,1.60252,39.011
1,65,3,1,1,1,21,1,4,5.5,5,0,1,0,0.0479345,0.633485,2.70029,9,1.13162,50.6062
1,66,3,1,1,1,19.5,7,4,4.5,4.5,0,1,1,0.11294,0.830347,4.89213,79,2.0022,30.8147
1,67,3,0,1,3,18.5,7,2.5,4,3.5,1,2,1,0.0955547,0.721996,3.90237,93,1.2915,37.9093
1,68,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,71,3,1,1,3,18.5,5,6,6,6,0,0,0,0.0390358,0.654391,4.38353,16,1.83849,45.6664
1,72,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,74,3,0,1,0,18.5,1,4,4.5,5,0,1,0,0.00730784,0.158711,2.40369,5,0.781688,111.746
1,75,3,1,1,0,20,1,5,5,5.5,0,2,1,0.0765282,0.662121,2.707,40,1.03542,47.7007
2,7,2,0,0,1,18,1,4.5,5,5.5,1,0,1,0.0101981,0.0181286,2,2,NaN,66.0334
2,8,2,0,0,3,19,2,4.5,5,5.5,1,2,1,0.0307245,0.0487508,2.01583,3,0.0813218,23.6624
2,9,2,1,0,3,19,2,4,3,3,0,4,4,0.0113191,0.0142538,2.01316,3,0.0700543,47.6553
2,11,2,0,0,1,22,4,4,5,5.5,0,2,1,0.0221888,0.0419502,2.02451,4,0.113642,32.9957
2,12,2,0,0,3,19,2,4,4.5,4.5,0,1,1,0.00506168,0.0113681,2,2,NaN,132.642
2,13,2,0,0,1,18,1,4.5,5.5,5,1,1,2,0.000322487,NaN,NaN,1,NaN,185.039
2,15,2,0,0,3,19,1,3.5,4.5,4.5,1,1,1,0.00558343,0.0142033,2,2,NaN,105.713
2,18,2,1,0,1,19.5,7,4,5,5,0,0,0,0.00496509,0.00971706,2,2,NaN,138.86
2,19,2,0,0,3,20,8,4,5,5,0,2,0,0.00699294,0.0101119,2,2,NaN,93.1862
2,21,2,1,0,3,21,7,4.5,4.5,5,1,1,2,0.0142873,0.0236083,2.01143,3,0.0624675,54.5558
2,24,2,0,0,3,21,4,2.5,4,5,3,0,0,0.0298176,0.055601,2.02988,4,0.135175,27.6732
2,25,2,1,0,3,19.5,1,3.5,5,5,3,0,0,0.00307036,0.00276625,2,2,NaN,185.096
2,26,2,1,0,1,21,4,3.5,5.5,5.5,1,1,1,0.0133525,0.0201992,2.01399,3,0.0736038,53.1735
2,27,2,1,0,3,21,5,2.5,4,5,1,4,2,0.0245435,0.0532854,2.01946,3,0.0959114,26.9128
2,30,2,0,0,1,20,2,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
2,31,2,0,0,1,22,6,4.5,4,4.5,1,2,1,0.00818291,0.0107887,2,2,NaN,80.0244
2,33,2,1,0,3,18.5,6,3.5,4.5,4.5,1,1,1,0.0191846,0.023634,2.01036,3,0.0576616,36.275
2,34,2,1,0,1,20.5,5,4,5,4,NaN,NaN,NaN,0.00200922,NaN,NaN,1,NaN,39.6694
2,35,2,0,0,1,20,6,3.5,2.5,4.5,1,3,1,0.0103338,0.016086,2.01075,3,0.0594323,50.8674
2,36,2,1,0,3,20.5,2,4,5.5,6,0,1,0,0.00622087,0.0146636,2,2,NaN,108.296
2,37,2,1,0,1,19.5,1,3.5,4.5,4.5,1,1,1,0.0100798,0.0202433,2,2,NaN,69.7361
2,38,2,0,0,3,18,7,3,4,4,2,2,0,0.00141917,NaN,NaN,1,NaN,244
2,39,2,0,0,1,20.5,6,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,40,2,1,0,0,20,7,4.5,5,5,1,0,0,0.00684932,NaN,NaN,1,NaN,NaN
2,41,2,0,0,3,19.5,2,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,7,3,1,0,1,18,2,4,4,5,2,0,0,0.0164824,0.032414,2.02658,4,0.119991,43.0647
2,8,3,1,0,3,19,3,4,5,5.5,0,0,1,0.0205215,0.035188,2.02315,4,0.108532,30.0638
2,9,3,0,0,3,19,3,4.5,3,3,1,4,4,0.0087459,0.0295136,2,2,NaN,44.9273
2,11,3,1,0,1,22,2,2.5,4.5,5,3,3,2,0.0102298,0.0129476,2,2,NaN,61.721
2,12,3,1,0,3,19,9,2.5,2.5,4.5,1,1,1,0.000832871,0.0136054,2,2,NaN,297.967
2,13,3,1,0,1,18,6,4.5,5,4.5,1,0,3,0.00356566,0.00843684,2,2,NaN,152.35
2,15,3,1,0,3,19,5,3.5,5,5,1,2,2,0.00764516,0.0167124,2,2,NaN,82.953
2,18,3,0,0,1,19.5,2,4,4.5,5.5,2,1,1,0.00501601,0.0120429,2,2,NaN,141.577
2,19,3,1,0,3,20,2,4.5,4.5,4.5,1,1,1,0.00778401,0.0174043,2,2,NaN,74.8914
2,21,3,0,0,3,21,1,4,4,5.5,0,0,1,0.00772211,0.0153415,2.01471,3,0.0766488,88.7387
2,24,3,1,0,3,21,1,4.5,6,6,3,0,0,0.0192743,0.0436716,2.00965,3,0.0543986,40.0314
2,25,3,0,0,3,19.5,5,4,3.5,5.5,2,3,1,0.00152278,0.00505051,2,2,NaN,243.883
2,26,3,0,0,1,21,5,4.5,5.5,5.5,1,1,1,0.0148433,0.024441,2.00901,3,0.0513965,51.5473
2,27,3,0,0,3,21,6,2.5,3.5,4,1,5,0,0.0127177,0.0321657,2.00851,3,0.0490398,37.3916
